SID,YEAR,MONTH,DAY,HOUR,LAT,LON,DELTA_LAT_6h,DELTA_LON_6h,TARGET_WIND_6h,DELTA_LAT_12h,DELTA_LON_12h,TARGET_WIND_12h,DELTA_LAT_24h,DELTA_LON_24h,TARGET_WIND_24h
2015012N09146,2015,1,16,6,11.4,129.8,-0.09999999999999964,-1.1000000000000227,0.0,-0.3000000000000007,-2.200000000000017,10.0,0.5,-4.000000000000014,10.0
2015012N09146,2015,1,16,12,11.3,128.7,-0.20000000000000107,-1.0999999999999943,10.0,0.09999999999999964,-1.9999999999999858,10.0,1.0999999999999996,-3.5999999999999943,-5.0
2015012N09146,2015,1,16,18,11.1,127.6,0.3000000000000007,-0.8999999999999915,0.0,0.8000000000000007,-1.7999999999999972,0.0,1.5999999999999996,-3.299999999999997,-20.0
2015012N09146,2015,1,17,0,11.4,126.7,0.5,-0.9000000000000057,0.0,1.0,-1.6000000000000085,-15.0,2.0999999999999996,-3.1000000000000085,-25.0
2015012N09146,2015,1,17,6,11.9,125.8,0.5,-0.7000000000000028,-15.0,0.7999999999999989,-1.5,-20.0,2.0999999999999996,-2.8999999999999915,-25.0
2015012N09146,2015,1,17,12,12.4,125.1,0.29999999999999893,-0.7999999999999972,-5.0,1.0999999999999996,-1.5,-10.0,2.4000000000000004,-2.5,-10.0
2015012N09146,2015,1,17,18,12.7,124.3,0.8000000000000007,-0.7000000000000028,-5.0,1.3000000000000007,-1.3999999999999915,-5.0,,,
2015012N09146,2015,1,18,0,13.5,123.6,0.5,-0.6999999999999886,0.0,1.3000000000000007,-1.0,0.0,,,
2015012N09146,2015,1,18,6,14.0,122.9,0.8000000000000007,-0.30000000000001137,0.0,,,,,,
2015012N09146,2015,1,18,12,14.8,122.6,,,,,,,,,
2015038N08158,2015,2,7,18,11.6,157.6,0.40000000000000036,-0.19999999999998863,5.0,0.5,-0.5,10.0,0.5,-0.9000000000000057,15.0
2015038N08158,2015,2,8,0,12.0,157.4,0.09999999999999964,-0.30000000000001137,5.0,0.09999999999999964,-0.5,5.0,0.1999999999999993,-0.9000000000000057,10.0
2015038N08158,2015,2,8,6,12.1,157.1,0.0,-0.19999999999998863,0.0,0.0,-0.4000000000000057,5.0,0.3000000000000007,-1.0,10.0
2015038N08158,2015,2,8,12,12.1,156.9,0.0,-0.20000000000001705,5.0,0.09999999999999964,-0.4000000000000057,5.0,0.5,-1.200000000000017,15.0
2015038N08158,2015,2,8,18,12.1,156.7,0.09999999999999964,-0.19999999999998863,0.0,0.3000000000000007,-0.5999999999999943,5.0,0.9000000000000004,-1.5,20.0
2015038N08158,2015,2,9,0,12.2,156.5,0.20000000000000107,-0.4000000000000057,5.0,0.40000000000000036,-0.8000000000000114,10.0,1.4000000000000004,-1.8000000000000114,30.0
2015038N08158,2015,2,9,6,12.4,156.1,0.1999999999999993,-0.4000000000000057,5.0,0.5999999999999996,-0.9000000000000057,15.0,1.799999999999999,-1.9000000000000057,35.0
2015038N08158,2015,2,9,12,12.6,155.7,0.40000000000000036,-0.5,10.0,1.0,-1.0,20.0,2.0999999999999996,-1.6999999999999886,20.0
2015038N08158,2015,2,9,18,13.0,155.2,0.5999999999999996,-0.5,10.0,1.1999999999999993,-1.0,20.0,2.0999999999999996,-1.5999999999999943,-5.0
2015038N08158,2015,2,10,0,13.6,154.7,0.5999999999999996,-0.5,10.0,1.0999999999999996,-0.6999999999999886,0.0,1.700000000000001,-1.5,-30.0
2015038N08158,2015,2,10,6,14.2,154.2,0.5,-0.19999999999998863,-10.0,0.9000000000000004,-0.5999999999999943,-25.0,1.4000000000000004,-1.3999999999999773,-50.0
2015038N08158,2015,2,10,12,14.7,154.0,0.40000000000000036,-0.4000000000000057,-15.0,0.6000000000000014,-0.8000000000000114,-30.0,,,
2015038N08158,2015,2,10,18,15.1,153.6,0.20000000000000107,-0.4000000000000057,-15.0,0.5,-0.799999999999983,-25.0,,,
2015038N08158,2015,2,11,0,15.3,153.2,0.29999999999999893,-0.39999999999997726,-10.0,,,,,,
2015038N08158,2015,2,11,6,15.6,152.8,,,,,,,,,
2015069N04173,2015,3,11,6,6.8,169.8,0.0,-0.9000000000000057,0.0,0.40000000000000036,-1.8000000000000114,0.0,1.2999999999999998,-3.8000000000000114,0.0
2015069N04173,2015,3,11,12,6.8,168.9,0.40000000000000036,-0.9000000000000057,0.0,0.7000000000000002,-1.9000000000000057,0.0,1.6000000000000005,-4.700000000000017,5.0
2015069N04173,2015,3,11,18,7.2,168.0,0.2999999999999998,-1.0,0.0,0.8999999999999995,-2.0,0.0,1.2999999999999998,-5.199999999999989,5.0
2015069N04173,2015,3,12,0,7.5,167.0,0.5999999999999996,-1.0,0.0,0.9000000000000004,-2.8000000000000114,5.0,1.3000000000000007,-5.900000000000006,5.0
2015069N04173,2015,3,12,6,8.1,166.0,0.3000000000000007,-1.8000000000000114,5.0,0.40000000000000036,-3.1999999999999886,5.0,1.0,-6.099999999999994,5.0
2015069N04173,2015,3,12,12,8.4,164.2,0.09999999999999964,-1.3999999999999773,0.0,0.40000000000000036,-3.0999999999999943,0.0,1.4000000000000004,-5.5,0.0
2015069N04173,2015,3,12,18,8.5,162.8,0.3000000000000007,-1.700000000000017,0.0,0.5999999999999996,-2.9000000000000057,0.0,2.4000000000000004,-5.600000000000023,5.0
2015069N04173,2015,3,13,0,8.8,161.1,0.29999999999999893,-1.1999999999999886,0.0,1.0,-2.4000000000000057,0.0,3.0,-6.0,5.0
2015069N04173,2015,3,13,6,9.1,159.9,0.7000000000000011,-1.200000000000017,0.0,1.8000000000000007,-2.700000000000017,5.0,3.4000000000000004,-6.700000000000017,5.0
2015069N04173,2015,3,13,12,9.8,158.7,1.0999999999999996,-1.5,5.0,2.0,-3.5999999999999943,5.0,3.3999999999999986,-7.299999999999983,5.0
2015069N04173,2015,3,13,18,10.9,157.2,0.9000000000000004,-2.0999999999999943,0.0,1.5999999999999996,-4.0,0.0,2.799999999999999,-7.299999999999983,0.0
2015069N04173,2015,3,14,0,11.8,155.1,0.6999999999999993,-1.9000000000000057,0.0,1.3999999999999986,-3.6999999999999886,0.0,2.1999999999999993,-6.799999999999983,0.0
2015069N04173,2015,3,14,6,12.5,153.2,0.6999999999999993,-1.799999999999983,0.0,1.1999999999999993,-3.299999999999983,0.0,1.5999999999999996,-6.599999999999994,0.0
2015069N04173,2015,3,14,12,13.2,151.4,0.5,-1.5,0.0,0.8000000000000007,-3.0999999999999943,0.0,0.20000000000000107,-6.599999999999994,0.0
2015069N04173,2015,3,14,18,13.7,149.9,0.3000000000000007,-1.5999999999999943,0.0,0.40000000000000036,-3.3000000000000114,0.0,-0.3999999999999986,-7.0,-5.0
2015069N04173,2015,3,15,0,14.0,148.3,0.09999999999999964,-1.700000000000017,0.0,-0.5999999999999996,-3.5,0.0,-0.6999999999999993,-7.300000000000011,-10.0
2015069N04173,2015,3,15,6,14.1,146.6,-0.6999999999999993,-1.799999999999983,0.0,-0.7999999999999989,-3.6999999999999886,-5.0,-0.1999999999999993,-6.900000000000006,-10.0
2015069N04173,2015,3,15,12,13.4,144.8,-0.09999999999999964,-1.9000000000000057,-5.0,-0.09999999999999964,-3.8000000000000114,-10.0,1.0,-6.300000000000011,-10.0
2015069N04173,2015,3,15,18,13.3,142.9,0.0,-1.9000000000000057,-5.0,0.5999999999999996,-3.200000000000017,-5.0,1.5999999999999996,-5.5,-5.0
2015069N04173,2015,3,16,0,13.3,141.0,0.5999999999999996,-1.3000000000000114,0.0,1.0999999999999996,-2.5,0.0,1.8999999999999986,-4.699999999999989,0.0
2015069N04173,2015,3,16,6,13.9,139.7,0.5,-1.1999999999999886,0.0,1.0,-2.299999999999983,0.0,1.4000000000000004,-4.299999999999983,0.0
2015069N04173,2015,3,16,12,14.4,138.5,0.5,-1.0999999999999943,0.0,0.7999999999999989,-2.1999999999999886,0.0,,,
2015069N04173,2015,3,16,18,14.9,137.4,0.29999999999999893,-1.0999999999999943,0.0,0.40000000000000036,-2.0,0.0,,,
2015069N04173,2015,3,17,0,15.2,136.3,0.10000000000000142,-0.9000000000000057,0.0,,,,,,
2015069N04173,2015,3,17,6,15.3,135.4,,,,,,,,,
2015085N06162,2015,3,27,18,7.6,156.2,0.0,-0.8999999999999773,0.0,-0.09999999999999964,-1.6999999999999886,10.0,-0.1999999999999993,-3.1999999999999886,20.0
2015085N06162,2015,3,28,0,7.6,155.3,-0.09999999999999964,-0.8000000000000114,10.0,-0.1999999999999993,-1.6000000000000227,15.0,-0.09999999999999964,-3.200000000000017,30.0
2015085N06162,2015,3,28,6,7.5,154.5,-0.09999999999999964,-0.8000000000000114,5.0,-0.09999999999999964,-1.5,10.0,0.20000000000000018,-3.5,25.0
2015085N06162,2015,3,28,12,7.4,153.7,0.0,-0.6999999999999886,5.0,0.09999999999999964,-1.5999999999999943,15.0,0.5999999999999996,-4.099999999999994,30.0
2015085N06162,2015,3,28,18,7.4,153.0,0.09999999999999964,-0.9000000000000057,10.0,0.2999999999999998,-2.0,15.0,0.6999999999999993,-4.800000000000011,25.0
2015085N06162,2015,3,29,0,7.5,152.1,0.20000000000000018,-1.0999999999999943,5.0,0.5,-2.5,15.0,0.9000000000000004,-5.099999999999994,15.0
2015085N06162,2015,3,29,6,7.7,151.0,0.2999999999999998,-1.4000000000000057,10.0,0.39999999999999947,-2.8000000000000114,10.0,1.1000000000000005,-5.199999999999989,10.0
2015085N06162,2015,3,29,12,8.0,149.6,0.09999999999999964,-1.4000000000000057,0.0,0.40000000000000036,-2.5999999999999943,0.0,1.0,-4.699999999999989,5.0
2015085N06162,2015,3,29,18,8.1,148.2,0.3000000000000007,-1.1999999999999886,0.0,0.7000000000000011,-2.3999999999999773,0.0,1.3000000000000007,-4.5,15.0
2015085N06162,2015,3,30,0,8.4,147.0,0.40000000000000036,-1.1999999999999886,0.0,0.5999999999999996,-2.0999999999999943,5.0,1.1999999999999993,-4.5,20.0
2015085N06162,2015,3,30,6,8.8,145.8,0.1999999999999993,-0.9000000000000057,5.0,0.5999999999999996,-2.1000000000000227,15.0,1.1999999999999993,-4.5,25.0
2015085N06162,2015,3,30,12,9.0,144.9,0.40000000000000036,-1.200000000000017,10.0,0.5999999999999996,-2.4000000000000057,15.0,1.1999999999999993,-5.0,20.0
2015085N06162,2015,3,30,18,9.4,143.7,0.1999999999999993,-1.1999999999999886,5.0,0.5999999999999996,-2.3999999999999773,10.0,0.9000000000000004,-5.0,10.0
2015085N06162,2015,3,31,0,9.6,142.5,0.40000000000000036,-1.1999999999999886,5.0,0.5999999999999996,-2.5999999999999943,5.0,1.0999999999999996,-4.800000000000011,5.0
2015085N06162,2015,3,31,6,10.0,141.3,0.1999999999999993,-1.4000000000000057,0.0,0.3000000000000007,-2.6000000000000227,0.0,1.1999999999999993,-4.700000000000017,0.0
2015085N06162,2015,3,31,12,10.2,139.9,0.10000000000000142,-1.200000000000017,0.0,0.5,-2.200000000000017,0.0,1.5,-4.200000000000017,0.0
2015085N06162,2015,3,31,18,10.3,138.7,0.3999999999999986,-1.0,0.0,0.8999999999999986,-2.0999999999999943,0.0,1.6999999999999993,-4.0,0.0
2015085N06162,2015,4,1,0,10.7,137.7,0.5,-1.0999999999999943,0.0,1.0,-2.0,0.0,1.6000000000000014,-3.6999999999999886,-10.0
2015085N06162,2015,4,1,6,11.2,136.6,0.5,-0.9000000000000057,0.0,0.8000000000000007,-1.9000000000000057,0.0,1.6000000000000014,-3.1999999999999886,-20.0
2015085N06162,2015,4,1,12,11.7,135.7,0.3000000000000007,-1.0,0.0,0.6000000000000014,-1.6999999999999886,-10.0,1.5,-3.0999999999999943,-20.0
2015085N06162,2015,4,1,18,12.0,134.7,0.3000000000000007,-0.6999999999999886,-10.0,0.8000000000000007,-1.299999999999983,-20.0,1.6999999999999993,-2.799999999999983,-20.0
2015085N06162,2015,4,2,0,12.3,134.0,0.5,-0.5999999999999943,-10.0,0.8999999999999986,-1.4000000000000057,-10.0,1.6999999999999993,-2.9000000000000057,-10.0
2015085N06162,2015,4,2,6,12.8,133.4,0.3999999999999986,-0.8000000000000114,0.0,0.8999999999999986,-1.5,0.0,1.299999999999999,-3.4000000000000057,-5.0
2015085N06162,2015,4,2,12,13.2,132.6,0.5,-0.6999999999999886,0.0,0.8000000000000007,-1.5,0.0,1.0,-3.5999999999999943,-10.0
